"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"2035-01-01 00:00:00",,,,301.15,250.08,365.71,300.68,239.42,379.31,316.15,253.82,363.36
"2036-01-01 00:00:00",,,,313.97,277.58,387.62,295.15,240.34,377.86,305.16,232.14,380.45
"2037-01-01 00:00:00",,,,302.86,247.57,356.26,331.62,243.24,413.44,323.14,223.47,393.91
"2038-01-01 00:00:00",,,,322.62,228.05,391.58,302.57,247.96,403.47,325.48,286.01,394.93
"2039-01-01 00:00:00",,,,317.77,260.66,384.96,324.15,220.66,406.12,310.41,260.19,359.34
"2040-01-01 00:00:00",,,,312.17,257.75,403.27,293.4,259.86,398.45,289.97,254.97,353.6
"2041-01-01 00:00:00",,,,309.89,244.94,383.61,308.32,241.94,359.41,298.54,223.76,389.79
"2042-01-01 00:00:00",,,,298.84,240.58,376.19,328.74,282.69,380.91,309.19,247.17,382.72
"2043-01-01 00:00:00",,,,290.76,210.39,346.16,321.38,239.44,399.89,287.67,243.35,360.78
"2044-01-01 00:00:00",,,,310.16,239.52,379.57,291.32,233.33,322.95,275.57,242.02,383.15
"2045-01-01 00:00:00",,,,309.99,261.95,387.36,335.19,274.24,389.97,297.46,255.74,402.7
"2046-01-01 00:00:00",,,,329.9,254.73,427.73,315.69,225.91,394.15,316.18,254.78,388.22
"2047-01-01 00:00:00",,,,307.23,250.98,343.1,315.3,247.34,368.04,320.03,268.46,407.24
"2048-01-01 00:00:00",,,,319.39,256.74,399.09,302.41,239.6,414.59,335.84,250.71,408.62
"2049-01-01 00:00:00",,,,315.53,253.93,399.76,318.78,273.46,377.15,330.11,233.55,395.76
"2050-01-01 00:00:00",,,,324.75,258.54,401.96,305.44,239.38,388.33,320.65,255.08,368.46
"2051-01-01 00:00:00",,,,315.21,281.68,407.24,322.18,275.45,372.71,306.26,261.68,368.07
"2052-01-01 00:00:00",,,,331.59,257.8,384.74,332.45,265.86,418.68,300.48,247.1,363.99
"2053-01-01 00:00:00",,,,294.12,244.77,367.67,312.16,249.5,373.79,358.33,269.64,440
"2054-01-01 00:00:00",,,,299.46,254.34,385.45,318.81,250.48,392.34,297.27,223.96,385.37
"2055-01-01 00:00:00",,,,296.92,242.37,389.87,329.73,253.93,377.38,320.53,266.25,419.6
"2056-01-01 00:00:00",,,,336.05,286.41,401.68,281.23,240.41,355.37,310.16,270.71,388.25
"2057-01-01 00:00:00",,,,320.58,261.35,421.75,305.12,264.85,425.43,337.47,268.18,417.61
"2058-01-01 00:00:00",,,,309.72,238.71,387.13,322.45,266.08,387.87,362.34,265.22,417.47
"2059-01-01 00:00:00",,,,329.02,217.41,463.16,342.04,281.99,383.11,356.59,294.78,424.41
"2060-01-01 00:00:00",,,,318.84,240.34,388.32,312.07,249.85,389.78,331.67,262.85,459.87
"2061-01-01 00:00:00",,,,321.21,238.9,369.55,315.89,263.89,397.78,348.06,290.43,413.45
"2062-01-01 00:00:00",,,,309.5,242.53,393.3,337.13,288.74,424,353.47,271.78,429.73
"2063-01-01 00:00:00",,,,305.26,219.23,410.63,289.39,243.27,369.99,323.31,267.47,406.8
"2064-01-01 00:00:00",,,,303.4,250.64,386.45,320.5,244.07,407.77,354.93,301.37,448.05
"2065-01-01 00:00:00",,,,307.33,271.68,355.52,324.31,238.95,387.3,351.53,285.53,456.73
"2066-01-01 00:00:00",,,,310.84,258.79,380.58,313.63,233.95,384.24,353.57,286.11,421.57
"2067-01-01 00:00:00",,,,326.95,267.53,401.09,321.84,279.52,375.78,347.14,296.39,434.57
"2068-01-01 00:00:00",,,,308.6,258.14,370.49,302.8,219.03,369.93,375.75,297.46,430.07
"2069-01-01 00:00:00",,,,336.31,263.89,397.47,319.01,251.14,407.65,364.99,276.59,459.33
"2070-01-01 00:00:00",,,,319.56,217.81,358.54,333.33,232.94,389.7,345.28,302.9,447.25
"2071-01-01 00:00:00",,,,330.45,244.9,402.26,323.55,256.82,407.28,333.17,262.32,406.2
"2072-01-01 00:00:00",,,,279.04,223.16,359.79,330.64,253,391.22,361.78,290.91,401.73
"2073-01-01 00:00:00",,,,324.48,279.71,421.52,326.64,253.21,409,351.04,281.69,417.04
"2074-01-01 00:00:00",,,,294.54,251.04,364.78,326.86,264.96,383.67,363.36,268.44,409.59
"2075-01-01 00:00:00",,,,314.66,247,396.81,332.74,283.44,428.99,343.65,290.65,422.96
"2076-01-01 00:00:00",,,,296.32,220.87,365.31,329.99,234.39,378.87,343.59,288.34,447.75
"2077-01-01 00:00:00",,,,306.42,238.78,375.57,303.87,257.52,384.1,386.4,276.44,497.53
"2078-01-01 00:00:00",,,,301,267.44,425.68,318.12,272.8,446.8,358.74,293.71,445.7
"2079-01-01 00:00:00",,,,321.4,238.69,453.84,332.19,273.33,398.23,346.1,280.64,418.28
"2080-01-01 00:00:00",,,,351.89,248.63,416.56,349.88,280.12,422.06,369.76,300.6,451.8
"2081-01-01 00:00:00",,,,345.94,257.69,399.97,311.12,241.38,426.56,329.37,286.33,396.29
"2082-01-01 00:00:00",,,,302,254.49,387.95,342.92,273.91,409.26,362.37,273.24,489.39
"2083-01-01 00:00:00",,,,325.34,240.67,401.1,347.55,290.13,408.4,344.63,306.47,466.49
"2084-01-01 00:00:00",,,,328.07,235.97,375.27,323.44,247.67,399.79,349.7,272.4,425.96
"2085-01-01 00:00:00",,,,274.66,236.2,340.06,340.3,255.48,477.84,359.19,288.23,440.41
"2086-01-01 00:00:00",,,,318.08,258.73,447.92,321.52,255.55,379.42,378.94,315.01,471.19
"2087-01-01 00:00:00",,,,304.9,254.27,368.29,303.21,255.32,411.7,366.88,312.31,492.9
"2088-01-01 00:00:00",,,,314.8,240.83,370.76,302.41,260.6,389.17,352.62,296.15,495.71
"2089-01-01 00:00:00",,,,299.92,243.23,344.45,313.47,253.92,423.92,367.59,293.83,416.86
"2090-01-01 00:00:00",,,,296.39,269.9,370.85,329.49,271.08,405.28,378.25,254.18,452.68
"2091-01-01 00:00:00",,,,289.69,235.22,406.46,334.52,292.86,412.12,358.84,311.65,428.03
"2092-01-01 00:00:00",,,,322.79,224.15,412.92,316.88,252.56,433.88,376.93,265.42,478.68
"2093-01-01 00:00:00",,,,308.99,249.13,366.7,334.74,273.62,397.65,388.7,310.5,502.7
"2094-01-01 00:00:00",,,,309.44,255.25,364.14,347.49,256.1,385.7,356.46,292.64,448.69
"2095-01-01 00:00:00",,,,297.62,242.37,377.72,333.83,277.61,409.57,371.49,306.63,470.37
"2096-01-01 00:00:00",,,,319.98,271.41,381.26,322.17,253.87,404.8,370.06,273.01,484.72
"2097-01-01 00:00:00",,,,312.28,262.55,379.51,319.95,280.68,411.1,394.55,329.4,505.4
"2098-01-01 00:00:00",,,,297.18,223.4,415.89,311.87,263.57,394.9,374.42,321.29,486.49
"2099-01-01 00:00:00",,,,305.14,258.35,372.39,327.08,272.8,370.54,400.11,284.75,481.49
"2100-01-01 00:00:00",,,,318.75,248.21,390.32,312.47,249.69,440.6,408.03,330.96,491.38
