"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"2035-01-01 00:00:00",,,,355.86,318.72,410.8,376.34,342.31,432.9,400.61,346.47,471.04
"2036-01-01 00:00:00",,,,371.66,322.77,429.62,386.22,285.33,477.6,388.14,342.87,447.9
"2037-01-01 00:00:00",,,,381.28,312.36,453.85,367.92,309.1,425.81,400,348.89,489.84
"2038-01-01 00:00:00",,,,399.47,329.5,435.32,386.66,342.45,446.07,385.15,284.42,464.62
"2039-01-01 00:00:00",,,,372.01,288.81,413.64,381.61,311.1,445.34,386.11,313.53,444.41
"2040-01-01 00:00:00",,,,369.09,321.55,451,391.95,343.45,466.87,380.14,305.96,441.54
"2041-01-01 00:00:00",,,,376.77,319.36,453.19,371.77,318.57,437.45,379.71,318.84,475.83
"2042-01-01 00:00:00",,,,364.95,323.29,417.53,386.39,321.73,466.28,357.7,308.03,461.27
"2043-01-01 00:00:00",,,,356.34,309.77,427.66,370.94,316.59,412.78,383.57,328.7,478.01
"2044-01-01 00:00:00",,,,369.79,330.24,456.15,359.32,283.96,421.92,385.81,311.97,485.2
"2045-01-01 00:00:00",,,,367.65,291.84,425.47,363.43,318.76,429.23,364.87,290.8,428.92
"2046-01-01 00:00:00",,,,364.85,303.5,461.6,357.2,309.43,449.79,362.83,324.29,422.62
"2047-01-01 00:00:00",,,,373.53,330.52,463.13,350.32,288.31,419.02,375.94,324.15,491.09
"2048-01-01 00:00:00",,,,378.09,344.67,455.68,380.43,333.69,459.39,379.89,299.05,455.31
"2049-01-01 00:00:00",,,,380.4,313.45,441.69,383.1,334.22,446.42,392,320.26,444.63
"2050-01-01 00:00:00",,,,369.5,318.46,435.1,388.23,299.25,427.53,383,330,486.83
"2051-01-01 00:00:00",,,,393.2,320.88,449.38,385.88,333.5,442.07,389.11,327.84,449.37
"2052-01-01 00:00:00",,,,364.49,289.19,431.87,382.6,330.13,460.21,385.12,310.61,467.67
"2053-01-01 00:00:00",,,,385.7,320.75,462.15,398.59,347.26,458.44,390.24,319.17,509.37
"2054-01-01 00:00:00",,,,363.18,314.01,401.16,377.94,310.52,454.37,395.44,317.63,453.36
"2055-01-01 00:00:00",,,,410.57,309.26,466.49,374.59,320.76,446.01,386.38,317.47,453.39
"2056-01-01 00:00:00",,,,394.07,299.2,478.05,393.69,310.53,455.01,412.64,330.94,477.68
"2057-01-01 00:00:00",,,,383.03,317.14,439.58,386.11,321.63,460.56,386.94,343.03,500.18
"2058-01-01 00:00:00",,,,402.4,331.61,470.9,414.59,316.38,459.75,415.98,341.13,502
"2059-01-01 00:00:00",,,,381.24,326.09,455.21,392.09,310.27,457.07,411.34,337.51,501.74
"2060-01-01 00:00:00",,,,362.48,321.56,444.52,391.53,320.26,474.36,415.75,357.48,503.47
"2061-01-01 00:00:00",,,,351.77,275.6,466.08,374.14,313.53,453.49,398.86,357.87,497.64
"2062-01-01 00:00:00",,,,388.19,325.78,423.71,392.31,319.87,487.06,414.4,334.72,500.11
"2063-01-01 00:00:00",,,,358.35,288.96,422.23,402.01,336.2,491.42,404.71,328.66,530.26
"2064-01-01 00:00:00",,,,379.47,320.55,424.46,392.53,338.01,436.86,424.06,334.82,572.18
"2065-01-01 00:00:00",,,,368.53,285.78,447.43,377.98,334.34,462.68,436,349.38,526.72
"2066-01-01 00:00:00",,,,368.49,318.8,435.04,379.32,312.5,422.75,435.2,351.05,513.12
"2067-01-01 00:00:00",,,,380.29,322.86,442.6,383.53,329.91,457.13,431.88,333.04,524.92
"2068-01-01 00:00:00",,,,379.39,293.17,418.96,403.68,338.37,460.59,424.01,336.94,532.13
"2069-01-01 00:00:00",,,,367.55,295.94,431.62,381.16,345.87,461.2,442.09,364.91,539.54
"2070-01-01 00:00:00",,,,348.04,294.53,444.95,398.54,350.71,462.27,389.09,325.81,481.12
"2071-01-01 00:00:00",,,,360.09,302.8,438.27,404.79,338.78,458.84,442.15,315.81,518.67
