"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"2035-01-01 00:00:00",,,,348.06,284.56,426.93,369.05,296.28,422.17,364.67,314.2,486.38
"2036-01-01 00:00:00",,,,368.6,297.64,481.59,340.84,291.86,392.94,355.26,282.34,453.6
"2037-01-01 00:00:00",,,,352.69,284.24,415.73,343.43,277.14,437.17,352.82,298.44,491.1
"2038-01-01 00:00:00",,,,315.36,242.36,397.89,363.11,318.24,448.04,386.57,276.77,439.61
"2039-01-01 00:00:00",,,,368.3,299.05,455.18,348.15,270.39,420.2,352.42,307.83,411.46
"2040-01-01 00:00:00",,,,346.58,270.48,424.13,352.94,298.62,423.24,345.74,291.75,422.94
"2041-01-01 00:00:00",,,,356.71,271.63,416.07,372.44,285.81,475.28,342.12,293.19,424.27
"2042-01-01 00:00:00",,,,351.85,295.18,399.61,353.18,262.93,401.37,345.69,272.03,447.65
"2043-01-01 00:00:00",,,,358.3,290.29,405.94,360.02,299.12,416.74,371.26,313.35,445.73
"2044-01-01 00:00:00",,,,335.81,262.86,435.63,327.3,266.1,390.78,348.51,283.17,437.03
"2045-01-01 00:00:00",,,,304.95,279.38,381.24,375.09,284.89,453.52,344.36,268.46,443.56
"2046-01-01 00:00:00",,,,351.25,287.98,449.11,341.85,290.15,463.96,354.7,277.34,463.07
"2047-01-01 00:00:00",,,,361.79,300.66,467.82,343.75,276.66,454.9,353.46,297.83,444.68
"2048-01-01 00:00:00",,,,358.79,304.98,488.56,373.48,276.27,453.58,382.54,295.33,486.82
"2049-01-01 00:00:00",,,,383.28,258.07,425.66,359.3,307.11,439,353.27,308.59,483.47
"2050-01-01 00:00:00",,,,351.64,295.07,449.63,358.47,272.99,433.5,349.79,284.22,464.53
